n_courses,total_lectures,n_rooms,n_curricula,n_unavailability_constraints,avg_curriculum_size,max_curriculum_size,constraint_density,teacher_conflict_density,avg_unavailable_per_course,courses_in_curricula_ratio,room_capacity_mean,room_capacity_std,student_count_mean,student_count_std,avg_students_per_room_capacity,room_utilization_pressure,avg_min_working_days,lectures_per_timeslot_ratio,time_slack,instance_id,difficulty,total_violations,is_feasible,solve_time,room_capacity_cost,min_working_days_cost,curriculum_compactness_cost,room_stability_cost,lectures_violations,room_occupancy_violations,conflicts_violations,availabilities_violations
30,160,6,14,53,3.0,4,0.10804597701149425,0.013793103448275862,1.7666666666666666,1.0,64.83333333333333,67.1575676218912,34.03333333333333,34.832440179936995,0.5249357326478149,0.8888888888888888,3.533333333333333,5.333333333333333,20,comp01,189,0,True,0.04358077049255371,76,40,66,7,0,0,0,0
82,283,16,70,513,3.7857142857142856,6,0.11683227943390545,0.003914483589280337,6.2560975609756095,1.0,146.875,95.35976287197866,97.91463414634147,74.11135346673294,0.66665282823041,0.7075,2.9878048780487805,11.32,117,comp02,608,4,False,0.22926568984985352,0,90,506,12,4,0,0,0
72,251,16,68,382,3.4705882352941178,7,0.12910798122065728,0.004694835680751174,5.305555555555555,1.0,147.5,95.0171037234876,92.61111111111111,65.65515033439569,0.6278719397363466,0.6275,3.0,10.04,149,comp03,566,4,False,0.18810391426086426,0,75,482,9,4,0,0,0
79,286,18,57,396,3.0,5,0.0655631288542681,0.0032456994482310936,5.012658227848101,1.0,117.72222222222223,100.12980772508118,64.89873417721519,41.940764417409945,0.5512870293486897,0.6355555555555555,2.721518987341772,11.44,164,comp04,439,0,True,0.2965540885925293,0,50,372,17,0,0,0,0
54,152,9,139,771,3.9568345323741005,7,0.6359189378057303,0.004891684136967156,14.277777777777779,1.0,120.33333333333333,126.97681328144564,114.25925925925925,107.14479389457317,0.9495229301323483,0.4691358024691358,2.759259259259259,4.222222222222222,172,comp05,1490,3,False,0.0639193058013916,0,40,1444,6,3,0,0,0
108,361,18,70,632,3.8714285714285714,6,0.07182416060920734,0.00380754586362063,5.851851851851852,1.0,122.44444444444444,97.4618000507676,70.76851851851852,45.24677325951327,0.5779643073200242,0.8022222222222222,2.8981481481481484,14.44,89,comp06,601,0,True,0.42058753967285156,0,75,506,20,0,0,0,0
131,434,20,77,667,3.909090909090909,6,0.0554315913094539,0.004227833235466823,5.091603053435114,1.0,117.1,93.91001011606804,58.396946564885496,41.73959245683639,0.4986929681032067,0.868,2.8244274809160306,17.36,66,comp07,736,2,False,0.5953788757324219,0,130,572,34,2,0,0,0
86,324,18,61,478,2.8688524590163933,7,0.05581395348837209,0.0027359781121751026,5.558139534883721,1.0,107.55555555555556,83.20204472796074,60.96511627906977,42.20945768438319,0.5668244282144916,0.72,2.813953488372093,12.96,126,comp08,493,0,True,0.3669753074645996,0,25,450,18,0,0,0,0
76,279,18,75,405,2.88,5,0.08526315789473685,0.002807017543859649,5.328947368421052,1.0,135.55555555555554,95.50929112582726,75.71052631578948,47.68835668044021,0.5585202761000864,0.62,2.8947368421052633,11.16,171,comp09,486,2,False,0.27727246284484863,0,50,422,14,2,0,0,0
115,370,18,67,694,4.08955223880597,6,0.06895499618611747,0.004424103737604882,6.034782608695652,1.0,121.05555555555556,98.50012533676302,54.55652173913043,46.88527928879872,0.4506734241874015,0.8222222222222222,2.773913043478261,14.8,80,comp10,610,0,True,0.4087245464324951,0,80,504,26,0,0,0,0
30,162,5,13,94,3.6923076923076925,5,0.15632183908045977,0.016091954022988506,3.1333333333333333,1.0,44.4,32.20931542271583,34.86666666666667,23.710382161032797,0.7852852852852853,0.72,3.2333333333333334,3.6,63,comp11,112,0,True,0.06861567497253418,0,25,86,1,0,0,0,0
88,218,11,150,1368,4.193333333333333,10,0.3045977011494253,0.003918495297805642,15.545454545454545,1.0,65.18181818181819,42.93084964497755,40.01136363636363,39.23428878318447,0.6138423988842397,0.5505050505050505,2.477272727272727,6.055555555555555,178,comp12,1779,3,False,0.14455533027648926,0,60,1706,13,3,0,0,0
82,308,19,66,468,2.878787878787879,5,0.0635350797952424,0.0015055706112616681,5.7073170731707314,1.0,120.10526315789474,96.77695176720437,76.85365853658537,46.78313276176953,0.6398858510933927,0.6484210526315789,2.8048780487804876,12.32,167,comp13,543,0,True,0.35240888595581055,0,80,454,9,0,0,0,0
85,275,17,60,486,3.75,6,0.09747899159663866,0.0056022408963585435,5.7176470588235295,1.0,112.52941176470588,77.88537403061805,57.870588235294115,37.46521154517304,0.5142707788813382,0.6470588235294118,3.023529411764706,11.0,150,comp14,595,2,False,0.22620034217834473,0,80,500,15,2,0,0,0
72,251,16,68,382,3.4705882352941178,7,0.12910798122065728,0.004694835680751174,5.305555555555555,1.0,147.5,95.0171037234876,92.61111111111111,65.65515033439569,0.6278719397363466,0.6275,3.0,10.04,149,comp15,566,4,False,0.187608003616333,0,75,482,9,4,0,0,0
