room_id,capacity,instance
B,200,Fis0506-1
C,100,Fis0506-1
E,9,Fis0506-1
F,30,Fis0506-1
G,20,Fis0506-1
S,30,Fis0506-1
36,42,Ing0203-2
37,42,Ing0203-2
38,48,Ing0203-2
31,50,Ing0203-2
27,90,Ing0203-2
B,216,Ing0203-2
D,216,Ing0203-2
E,216,Ing0203-2
F,216,Ing0203-2
G,216,Ing0203-2
A,312,Ing0203-2
L,336,Ing0203-2
50,80,Ing0203-2
52,90,Ing0203-2
DS1,90,Ing0203-2
DS2,90,Ing0203-2
36,42,Ing0304-1
37,42,Ing0304-1
38,48,Ing0304-1
31,50,Ing0304-1
27,100,Ing0304-1
B,216,Ing0304-1
D,216,Ing0304-1
E,216,Ing0304-1
F,216,Ing0304-1
G,216,Ing0304-1
A,312,Ing0304-1
L,336,Ing0304-1
50,80,Ing0304-1
52,90,Ing0304-1
DS1,90,Ing0304-1
DS2,90,Ing0304-1
25,40,Ing0405-3
36,42,Ing0405-3
37,42,Ing0405-3
38,48,Ing0405-3
31,50,Ing0405-3
27,55,Ing0405-3
51,60,Ing0405-3
B,216,Ing0405-3
D,216,Ing0405-3
F,216,Ing0405-3
G,216,Ing0405-3
A,312,Ing0405-3
L,336,Ing0405-3
50,50,Ing0405-3
52,60,Ing0405-3
DS1,80,Ing0405-3
DS2,60,Ing0405-3
N,20,Ing0405-3
10,130,Let0405-1
14,50,Let0405-1
15,50,Let0405-1
C1,48,Let0405-1
L,65,Let0405-1
M,60,Let0405-1
O,30,Let0405-1
B,200,Let0405-1
A,450,Let0405-1
25,40,Ing0506-1
36,42,Ing0506-1
37,42,Ing0506-1
38,48,Ing0506-1
31,50,Ing0506-1
27,65,Ing0506-1
51,90,Ing0506-1
B,216,Ing0506-1
D,216,Ing0506-1
F,216,Ing0506-1
G,216,Ing0506-1
A,312,Ing0506-1
L,336,Ing0506-1
50,85,Ing0506-1
52,60,Ing0506-1
DS1,80,Ing0506-1
DS2,60,Ing0506-1
N,30,Ing0506-1
25,40,Ing0607-2
36,42,Ing0607-2
37,42,Ing0607-2
38,48,Ing0607-2
34,50,Ing0607-2
27,65,Ing0607-2
51,78,Ing0607-2
B,216,Ing0607-2
D,216,Ing0607-2
F,216,Ing0607-2
G,216,Ing0607-2
A,312,Ing0607-2
L,336,Ing0607-2
50,75,Ing0607-2
52,60,Ing0607-2
DS1,100,Ing0607-2
DS2,60,Ing0607-2
N,30,Ing0607-2
Er1,70,Ing0607-2
Er2,70,Ing0607-2
25,40,Ing0607-3
36,42,Ing0607-3
37,42,Ing0607-3
38,48,Ing0607-3
34,50,Ing0607-3
27,65,Ing0607-3
51,78,Ing0607-3
B,216,Ing0607-3
D,216,Ing0607-3
F,216,Ing0607-3
G,216,Ing0607-3
A,312,Ing0607-3
50,75,Ing0607-3
52,60,Ing0607-3
DS1,100,Ing0607-3
DS2,60,Ing0607-3
N,30,Ing0607-3
Er1,70,Ing0607-3
25,40,Ing0304-3
36,42,Ing0304-3
37,42,Ing0304-3
38,48,Ing0304-3
31,50,Ing0304-3
27,80,Ing0304-3
51,100,Ing0304-3
B,216,Ing0304-3
D,216,Ing0304-3
E,216,Ing0304-3
F,216,Ing0304-3
H,216,Ing0304-3
A,312,Ing0304-3
L,336,Ing0304-3
50,50,Ing0304-3
52,80,Ing0304-3
DS1,90,Ing0304-3
DS2,90,Ing0304-3
25,40,Ing0405-2
36,42,Ing0405-2
37,42,Ing0405-2
38,48,Ing0405-2
31,50,Ing0405-2
27,80,Ing0405-2
51,90,Ing0405-2
B,216,Ing0405-2
D,216,Ing0405-2
F,216,Ing0405-2
G,216,Ing0405-2
A,312,Ing0405-2
L,336,Ing0405-2
50,50,Ing0405-2
52,65,Ing0405-2
DS1,80,Ing0405-2
DS2,60,Ing0405-2
N,20,Ing0405-2
C,100,Fis0506-2
F,30,Fis0506-2
G,20,Fis0506-2
O,12,Fis0506-2
LUF2,60,Fis0506-2
10,130,Let0506-2
14,28,Let0506-2
15,46,Let0506-2
C1,28,Let0506-2
H,170,Let0506-2
L,65,Let0506-2
M,60,Let0506-2
O,30,Let0506-2
DTM,60,Let0506-2
HTM,60,Let0506-2
VL,40,Let0506-2
25,40,Ing0506-3
36,42,Ing0506-3
37,42,Ing0506-3
38,48,Ing0506-3
31,50,Ing0506-3
27,65,Ing0506-3
51,78,Ing0506-3
B,216,Ing0506-3
D,216,Ing0506-3
F,216,Ing0506-3
G,216,Ing0506-3
A,312,Ing0506-3
L,336,Ing0506-3
50,75,Ing0506-3
52,60,Ing0506-3
DS1,140,Ing0506-3
DS2,60,Ing0506-3
N,30,Ing0506-3
R,40,Ing0506-3
25,40,Ing0708-1
36,42,Ing0708-1
37,42,Ing0708-1
38,48,Ing0708-1
34,50,Ing0708-1
27,65,Ing0708-1
B,216,Ing0708-1
D,216,Ing0708-1
F,216,Ing0708-1
G,216,Ing0708-1
A,216,Ing0708-1
L,216,Ing0708-1
Dis,100,Ing0708-1
N,30,Ing0708-1
Er1,70,Ing0708-1
Er2,70,Ing0708-1
52,60,Ing0708-1
r36,42,Ing0203-1
r37,42,Ing0203-1
r38,48,Ing0203-1
r31,50,Ing0203-1
r27,100,Ing0203-1
rB,216,Ing0203-1
rD,216,Ing0203-1
rE,216,Ing0203-1
rF,216,Ing0203-1
