course_id,day,period,instance
c0001,4,0,Fis0506-1
c0001,4,1,Fis0506-1
c0001,4,2,Fis0506-1
c0001,4,4,Fis0506-1
c0001,4,5,Fis0506-1
c0004,0,1,Fis0506-1
c0004,0,3,Fis0506-1
c0004,0,4,Fis0506-1
c0004,0,5,Fis0506-1
c0024,3,1,Fis0506-1
c0024,3,2,Fis0506-1
c0024,3,3,Fis0506-1
c0024,3,4,Fis0506-1
c0024,3,5,Fis0506-1
nan,2,2,Fis0506-1
c0025,2,3,Fis0506-1
c0025,2,4,Fis0506-1
c0025,2,5,Fis0506-1
nan,3,1,Fis0506-1
c0025,3,2,Fis0506-1
c0025,3,3,Fis0506-1
c0025,3,4,Fis0506-1
c0025,3,5,Fis0506-1
c0033,3,2,Fis0506-1
c0033,3,3,Fis0506-1
c0033,3,5,Fis0506-1
c0033,4,1,Fis0506-1
c0033,4,2,Fis0506-1
c0033,4,5,Fis0506-1
c0071,0,0,Fis0506-1
c0071,0,1,Fis0506-1
c0071,0,2,Fis0506-1
c0071,1,0,Fis0506-1
c0071,1,1,Fis0506-1
c0071,1,2,Fis0506-1
c0071,2,0,Fis0506-1
c0071,2,1,Fis0506-1
c0071,2,2,Fis0506-1
c0071,3,1,Fis0506-1
c0071,3,2,Fis0506-1
c0071,4,0,Fis0506-1
c0071,4,2,Fis0506-1
c0211,0,2,Ing0203-2
c0211,0,3,Ing0203-2
c0211,0,4,Ing0203-2
c0211,1,2,Ing0203-2
c0211,1,3,Ing0203-2
c0211,1,4,Ing0203-2
c0211,2,2,Ing0203-2
nan,2,4,Ing0203-2
c0211,3,2,Ing0203-2
c0211,3,4,Ing0203-2
c0211,4,3,Ing0203-2
c0211,4,4,Ing0203-2
c0095,0,2,Ing0203-2
c0095,0,3,Ing0203-2
c0095,1,2,Ing0203-2
c0095,1,4,Ing0203-2
c0095,2,2,Ing0203-2
c0095,2,3,Ing0203-2
c0095,2,4,Ing0203-2
c0095,3,0,Ing0203-2
c0095,3,1,Ing0203-2
c0095,3,2,Ing0203-2
c0095,3,3,Ing0203-2
c0095,3,4,Ing0203-2
c0095,4,0,Ing0203-2
c0095,4,1,Ing0203-2
c0095,4,2,Ing0203-2
c0095,4,3,Ing0203-2
c0103,0,2,Ing0203-2
c0103,1,2,Ing0203-2
c0103,3,2,Ing0203-2
c0103,4,2,Ing0203-2
c0111,0,0,Ing0203-2
c0111,3,0,Ing0203-2
c0111,4,0,Ing0203-2
c0115,0,0,Ing0203-2
c0115,0,1,Ing0203-2
c0115,3,0,Ing0203-2
c0115,3,1,Ing0203-2
c0115,3,2,Ing0203-2
c0115,3,3,Ing0203-2
c0115,3,4,Ing0203-2
c0115,4,0,Ing0203-2
c0115,4,1,Ing0203-2
c0115,4,2,Ing0203-2
c0115,4,4,Ing0203-2
c0119,0,0,Ing0203-2
c0119,0,4,Ing0203-2
c0119,1,0,Ing0203-2
c0119,3,0,Ing0203-2
c0119,4,0,Ing0203-2
c0127,0,2,Ing0203-2
c0127,0,4,Ing0203-2
c0127,1,2,Ing0203-2
c0127,1,3,Ing0203-2
c0127,2,2,Ing0203-2
c0127,2,3,Ing0203-2
c0127,2,4,Ing0203-2
c0127,3,2,Ing0203-2
c0127,3,3,Ing0203-2
c0127,3,4,Ing0203-2
c0127,4,2,Ing0203-2
c0127,4,3,Ing0203-2
c0127,4,4,Ing0203-2
c0019,0,0,Ing0203-2
c0019,0,1,Ing0203-2
c0019,0,3,Ing0203-2
c0020,0,1,Ing0203-2
c0020,1,0,Ing0203-2
c0020,2,0,Ing0203-2
c0020,3,0,Ing0203-2
c0020,4,0,Ing0203-2
c0020,4,3,Ing0203-2
c0023,0,0,Ing0203-2
c0023,0,1,Ing0203-2
c0023,0,2,Ing0203-2
c0023,0,3,Ing0203-2
c0023,4,2,Ing0203-2
c0023,4,3,Ing0203-2
c0023,4,4,Ing0203-2
c0080,0,2,Ing0203-2
c0080,0,3,Ing0203-2
c0080,0,4,Ing0203-2
c0080,1,4,Ing0203-2
c0080,2,2,Ing0203-2
c0080,3,4,Ing0203-2
c0080,4,4,Ing0203-2
c0088,2,0,Ing0203-2
c0088,3,0,Ing0203-2
c0088,4,0,Ing0203-2
c0044,0,2,Ing0203-2
c0044,0,3,Ing0203-2
c0044,0,4,Ing0203-2
c0044,1,2,Ing0203-2
c0044,1,4,Ing0203-2
c0044,2,2,Ing0203-2
c0044,2,4,Ing0203-2
nan,3,2,Ing0203-2
c0044,3,3,Ing0203-2
c0044,3,4,Ing0203-2
c0044,4,0,Ing0203-2
c0044,4,1,Ing0203-2
c0044,4,2,Ing0203-2
c0044,4,3,Ing0203-2
c0044,4,4,Ing0203-2
c0110,0,1,Ing0203-2
c0110,1,0,Ing0203-2
c0110,2,0,Ing0203-2
c0110,3,0,Ing0203-2
c0110,4,0,Ing0203-2
c0110,4,1,Ing0203-2
c0110,4,2,Ing0203-2
c0110,4,3,Ing0203-2
c0110,4,4,Ing0203-2
c0058,0,0,Ing0203-2
c0058,0,1,Ing0203-2
c0058,1,0,Ing0203-2
c0058,2,0,Ing0203-2
c0058,3,0,Ing0203-2
c0058,4,0,Ing0203-2
c0058,4,1,Ing0203-2
c0058,4,2,Ing0203-2
c0058,4,3,Ing0203-2
nan,4,4,Ing0203-2
c0061,0,0,Ing0203-2
c0061,0,1,Ing0203-2
c0061,0,2,Ing0203-2
c0061,4,2,Ing0203-2
c0061,4,3,Ing0203-2
c0061,4,4,Ing0203-2
c0074,1,1,Ing0203-2
c0074,1,2,Ing0203-2
c0074,1,3,Ing0203-2
c0074,2,2,Ing0203-2
c0074,2,3,Ing0203-2
c0213,0,0,Ing0203-2
c0213,0,1,Ing0203-2
c0213,0,2,Ing0203-2
c0213,0,3,Ing0203-2
