course_id,teacher_id,n_lectures,min_working_days,n_students,instance
c0001,t000,60,4,130,Fis0506-1
c0002,t001,60,4,75,Fis0506-1
c0004,t002,70,3,117,Fis0506-1
c0005,t003,30,3,75,Fis0506-1
c0014,t004,10,1,65,Fis0506-1
c0015,nan,80,3,65,Fis0506-1
c0016,t006,70,3,65,Fis0506-1
c0017,t007,20,2,65,Fis0506-1
c0024,t008,40,3,55,Fis0506-1
c0025,t009,80,3,55,Fis0506-1
c0078,t010,50,4,55,Fis0506-1
c0030,t011,50,4,20,Fis0506-1
c0031,t012,50,4,11,Fis0506-1
c0032,t013,10,1,31,Fis0506-1
c0033,t014,60,4,31,Fis0506-1
c0057,t015,50,4,2,Fis0506-1
c0058,t016,50,4,2,Fis0506-1
c0059,t017,60,5,7,Fis0506-1
c0061,t018,60,4,6,Fis0506-1
c0062,t019,50,4,10,Fis0506-1
c0063,t020,60,4,8,Fis0506-1
c0064,t020,60,4,6,Fis0506-1
c0065,t021,60,4,5,Fis0506-1
nan,t008,60,4,14,Fis0506-1
c0067,t022,50,4,7,Fis0506-1
c0068,t023,30,4,9,Fis0506-1
c0069,t007,60,4,7,Fis0506-1
c0070,t002,60,4,4,Fis0506-1
c0071,t001,60,4,10,Fis0506-1
c0072,t003,60,4,9,Fis0506-1
c0131,t000,30,2,150,Ing0203-2
c0211,t001,30,3,147,Ing0203-2
c0095,t002,30,3,89,Ing0203-2
c0152,t003,30,3,150,Ing0203-2
c0103,t004,30,3,114,Ing0203-2
c0111,t005,30,3,114,Ing0203-2
c0113,t006,30,3,234,Ing0203-2
nan,t007,30,3,302,Ing0203-2
c0119,t008,30,3,60,Ing0203-2
c0127,t009,30,3,89,Ing0203-2
c0007,t010,30,3,17,Ing0203-2
c0015,t011,30,3,23,Ing0203-2
c0019,t012,30,3,46,Ing0203-2
c0020,t013,30,3,23,Ing0203-2
c0023,t014,30,3,124,Ing0203-2
c0080,t015,30,3,23,Ing0203-2
c0088,t016,50,4,144,Ing0203-2
c0044,t017,30,3,86,Ing0203-2
c0110,t018,30,3,195,Ing0203-2
c0058,t018,30,3,149,Ing0203-2
c0061,t019,30,3,201,Ing0203-2
c0066,t020,30,3,33,Ing0203-2
c0074,t021,30,3,75,Ing0203-2
c0213,t022,30,3,147,Ing0203-2
c0219,nan,30,2,90,Ing0203-2
c0178,t024,30,3,159,Ing0203-2
c0186,t025,30,3,175,Ing0203-2
c0193,t026,30,3,84,Ing0203-2
c0108,t027,30,3,89,Ing0203-2
c0056,t027,30,3,86,Ing0203-2
c0195,t027,30,3,159,Ing0203-2
c0206,t028,30,3,159,Ing0203-2
c0467,t029,30,3,37,Ing0203-2
c0129,t030,30,2,150,Ing0203-2
c0155,t031,70,1,50,Ing0203-2
c0156,t032,70,1,50,Ing0203-2
c0157,t033,70,1,50,Ing0203-2
c0252,t034,30,2,138,Ing0203-2
c0266,t035,30,2,169,Ing0203-2
c0238,t036,30,3,147,Ing0203-2
c0279,t036,30,3,128,Ing0203-2
c0076,t037,30,3,46,Ing0203-2
c0470,t037,30,3,16,Ing0203-2
c0009,t038,30,3,17,Ing0203-2
c0217,t038,30,3,107,Ing0203-2
c0230,t039,30,3,124,Ing0203-2
c0201,t040,30,2,175,Ing0203-2
c0552,t041,30,3,1,Ing0203-2
c0480,t042,30,3,31,Ing0203-2
c0054,t043,50,4,168,Ing0203-2
c0455,t044,30,3,4,Ing0203-2
c0602,t045,30,3,2,Ing0203-2
c0559,t046,30,3,1,Ing0203-2
c0069,t047,30,3,86,Ing0203-2
c0295,t048,50,4,4,Ing0203-2
c0288,t049,30,3,59,Ing0203-2
c0297,t050,50,4,11,Ing0203-2
c0302,t051,30,3,72,Ing0203-2
c0311,t038,30,3,21,Ing0203-2
c0313,t052,30,3,18,Ing0203-2
c0314,t053,30,3,4,Ing0203-2
c0310,t054,30,1,237,Ing0203-2
c0315,t054,30,3,23,Ing0203-2
c0316,t039,30,3,45,Ing0203-2
c0298,t055,50,4,86,Ing0203-2
c0304,t056,50,4,23,Ing0203-2
c0346,t057,50,4,270,Ing0203-2
c0379,t040,30,5,80,Ing0203-2
c0366,t058,50,4,41,Ing0203-2
c0391,t059,30,3,100,Ing0203-2
c0386,t060,30,3,296,Ing0203-2
c0638,t061,40,3,273,Ing0203-2
c0322,t062,50,4,61,Ing0203-2
c0323,t063,30,3,165,Ing0203-2
c0326,t064,30,3,91,Ing0203-2
c0327,t046,30,3,150,Ing0203-2
c0336,t065,30,2,66,Ing0203-2
c0337,t066,30,3,64,Ing0203-2
c0307,t067,50,4,23,Ing0203-2
c0633,t068,50,4,214,Ing0203-2
c0368,t069,30,3,31,Ing0203-2
c0388,t070,50,4,69,Ing0203-2
ChiGenAn,t000,30,3,150,Ing0304-1
GeoAn,t001,30,3,160,Ing0304-1
CamEleAn,t002,30,3,24,Ing0304-1
FonChiAn,t003,30,3,49,Ing0304-1
IngConAn,t004,30,3,100,Ing0304-1
StrIndAn,t005,30,3,24,Ing0304-1
TecCosAn,t006,30,3,20,Ing0304-1
Mat1Cn,t007,50,4,170,Ing0304-1
MecRazCn,t008,30,3,150,Ing0304-1
DisCn,t009,30,3,150,Ing0304-1
TecMatCn,t010,30,3,110,Ing0304-1
ArcTecCn,t011,30,3,80,Ing0304-1
DisEdiCn,t009,30,3,44,Ing0304-1
Idr2Cn,t012,30,3,64,Ing0304-1
Mat1En,t013,50,4,100,Ing0304-1
ChiStaEn,t014,30,3,130,Ing0304-1
ConAutEn,t015,30,3,130,Ing0304-1
RetLogEn,t016,30,2,92,Ing0304-1
TeoRetEn,t017,30,3,130,Ing0304-1
ComEleEn,t018,30,3,130,Ing0304-1
EleSis1En,t019,30,2,105,Ing0304-1
MetMatEn,t008,30,3,32,Ing0304-1
RetCal1G1n,t020,30,3,205,Ing0304-1
Mat1G2n,t021,50,5,170,Ing0304-1
ChiG2n,t000,30,3,210,Ing0304-1
DisComEsG2n,t022,10,1,100,Ing0304-1
FonMecG2n,t023,30,3,210,Ing0304-1
TerAppG2n,t024,30,3,100,Ing0304-1
CalProG2n,t025,30,3,48,Ing0304-1
Mat1Mn,t026,50,4,100,Ing0304-1
DisIndMn,t022,20,2,210,Ing0304-1
