curriculum_id,course_id,instance
q000,c0001,Fis0506-1
q000,c0002,Fis0506-1
q000,c0004,Fis0506-1
q000,c0005,Fis0506-1
q001,c0014,Fis0506-1
q001,c0015,Fis0506-1
nan,c0016,Fis0506-1
q001,c0017,Fis0506-1
q002,c0024,Fis0506-1
q002,c0025,Fis0506-1
q002,c0001,Fis0506-1
q002,nan,Fis0506-1
q003,c0030,Fis0506-1
q003,c0032,Fis0506-1
q003,c0033,Fis0506-1
q004,c0031,Fis0506-1
q004,c0032,Fis0506-1
q004,c0033,Fis0506-1
q005,c0070,Fis0506-1
q005,c0066,Fis0506-1
q005,c0072,Fis0506-1
q006,c0057,Fis0506-1
q006,c0059,Fis0506-1
q007,c0061,Fis0506-1
q007,c0062,Fis0506-1
q008,c0065,Fis0506-1
q008,c0059,Fis0506-1
q008,c0072,Fis0506-1
q009,c0063,Fis0506-1
q009,c0064,Fis0506-1
q009,c0066,Fis0506-1
nan,c0071,Fis0506-1
q010,c0058,Fis0506-1
q010,c0063,Fis0506-1
q010,c0068,Fis0506-1
q011,c0069,Fis0506-1
q011,c0067,Fis0506-1
q011,c0068,Fis0506-1
q012,c0004,Fis0506-1
q013,c0062,Fis0506-1
q013,c0066,Fis0506-1
q013,c0071,Fis0506-1
q000,c0129,Ing0203-2
q000,c0131,Ing0203-2
q000,c0157,Ing0203-2
q001,c0129,Ing0203-2
q001,c0131,Ing0203-2
q001,nan,Ing0203-2
q001,c0155,Ing0203-2
q002,c0129,Ing0203-2
q002,c0131,Ing0203-2
q002,c0152,Ing0203-2
q002,c0156,Ing0203-2
q003,c0213,Ing0203-2
q003,c0238,Ing0203-2
q004,c0230,Ing0203-2
q004,c0023,Ing0203-2
q004,c0217,Ing0203-2
q005,c0007,Ing0203-2
q005,c0009,Ing0203-2
q005,c0230,Ing0203-2
q005,c0023,Ing0203-2
q006,c0019,Ing0203-2
q006,c0310,Ing0203-2
q006,c0088,Ing0203-2
q007,c0015,Ing0203-2
q007,c0019,Ing0203-2
q007,c0020,Ing0203-2
q007,c0368,Ing0203-2
q009,c0217,Ing0203-2
q009,c0219,Ing0203-2
q009,c0023,Ing0203-2
q009,c0230,Ing0203-2
q010,nan,Ing0203-2
q010,c0633,Ing0203-2
q010,c0302,Ing0203-2
q010,c0088,Ing0203-2
q011,c0310,Ing0203-2
q011,c0633,Ing0203-2
q011,c0298,Ing0203-2
q012,c0044,Ing0203-2
q012,c0056,Ing0203-2
q012,c0069,Ing0203-2
q013,c0266,Ing0203-2
q013,c0054,Ing0203-2
q013,c0058,Ing0203-2
q014,c0323,Ing0203-2
q014,c0061,Ing0203-2
q014,c0327,Ing0203-2
q014,c0066,Ing0203-2
q015,c0323,Ing0203-2
nan,c0061,Ing0203-2
q015,c0327,Ing0203-2
q015,c0074,Ing0203-2
q016,c0323,Ing0203-2
q016,c0061,Ing0203-2
q016,c0327,Ing0203-2
q017,c0061,Ing0203-2
q017,c0327,Ing0203-2
q017,c0326,Ing0203-2
q018,c0178,Ing0203-2
q018,c0195,Ing0203-2
q018,c0206,Ing0203-2
q019,c0252,Ing0203-2
q019,c0346,Ing0203-2
q019,c0110,Ing0203-2
q020,c0186,Ing0203-2
q020,c0638,Ing0203-2
q020,c0201,Ing0203-2
q021,c0186,Ing0203-2
q021,c0638,Ing0203-2
q021,c0201,Ing0203-2
q021,c0467,Ing0203-2
q022,c0186,Ing0203-2
q022,c0638,Ing0203-2
q022,c0201,Ing0203-2
q022,c0386,Ing0203-2
q024,c0252,Ing0203-2
q024,c0058,Ing0203-2
q024,c0266,Ing0203-2
q024,c0054,Ing0203-2
q025,c0186,Ing0203-2
q025,c0201,Ing0203-2
q025,c0326,Ing0203-2
q026,c0186,Ing0203-2
q026,c0201,Ing0203-2
q026,c0326,Ing0203-2
q026,c0470,Ing0203-2
q027,c0186,Ing0203-2
nan,c0201,Ing0203-2
q027,c0279,Ing0203-2
q028,c0095,Ing0203-2
q028,c0127,Ing0203-2
q029,c0103,Ing0203-2
q029,c0110,Ing0203-2
q029,c0111,Ing0203-2
q029,c0113,Ing0203-2
q030,c0386,Ing0203-2
q030,c0115,Ing0203-2
q030,c0391,Ing0203-2
q031,c0386,Ing0203-2
q031,c0115,Ing0203-2
q031,c0119,Ing0203-2
q033,c0304,Ing0203-2
q033,c0310,Ing0203-2
q033,c0633,Ing0203-2
q034,c0307,Ing0203-2
q034,c0310,Ing0203-2
q035,c0310,Ing0203-2
q035,c0311,Ing0203-2
q035,c0633,Ing0203-2
q036,c0088,Ing0203-2
q037,c0088,Ing0203-2
q037,c0288,Ing0203-2
q037,c0313,Ing0203-2
q037,c0316,Ing0203-2
q038,c0088,Ing0203-2
q038,c0288,Ing0203-2
q038,c0315,Ing0203-2
q039,c0288,Ing0203-2
q039,c0297,Ing0203-2
q040,c0088,Ing0203-2
q040,c0288,Ing0203-2
q040,c0316,Ing0203-2
q041,c0088,Ing0203-2
q041,c0315,Ing0203-2
q041,c0295,Ing0203-2
q042,c0088,Ing0203-2
q042,c0288,Ing0203-2
q042,c0315,Ing0203-2
q042,c0297,Ing0203-2
q043,c0088,Ing0203-2
q043,c0315,Ing0203-2
q043,c0313,Ing0203-2
q044,c0088,Ing0203-2
q044,c0288,Ing0203-2
q044,c0315,Ing0203-2
q044,c0314,Ing0203-2
q045,c0322,Ing0203-2
q045,c0061,Ing0203-2
q045,c0336,Ing0203-2
q045,c0337,Ing0203-2
q046,c0323,Ing0203-2
q046,c0326,Ing0203-2
nan,c0327,Ing0203-2
q046,c0074,Ing0203-2
q047,c0323,Ing0203-2
q047,c0279,Ing0203-2
q047,c0074,Ing0203-2
q047,c0480,Ing0203-2
q048,c0076,Ing0203-2
q048,c0279,Ing0203-2
q048,c0074,Ing0203-2
q048,c0480,Ing0203-2
q049,c0346,Ing0203-2
q049,c0115,Ing0203-2
q050,c0061,Ing0203-2
q051,nan,Ing0203-2
q051,c0115,Ing0203-2
q052,c0386,Ing0203-2
q052,c0279,Ing0203-2
q052,c0379,Ing0203-2
q052,c0638,Ing0203-2
q053,c0386,Ing0203-2
q053,c0279,Ing0203-2
q053,c0379,Ing0203-2
q053,c0638,Ing0203-2
q053,c0054,Ing0203-2
