course_id,day,period,instance
c0001,4.0,0.0,Fis0506-1
c0001,4.0,1.0,Fis0506-1
c0001,4.0,2.0,Fis0506-1
c8888,4.0,3.0,Fis0506-1
c0001,4.0,4.0,Fis0506-1
c0001,4.0,5.0,Fis0506-1
c0004,0.0,-1.0,Fis0506-1
c0004,0.0,1.0,Fis0506-1
c0004,0.0,10.0,Fis0506-1
c0004,0.0,3.0,Fis0506-1
c0004,0.0,4.0,Fis0506-1
c0004,0.0,5.0,Fis0506-1
c0024,3.0,10.0,Fis0506-1
c0024,3.0,1.0,Fis0506-1
c0024,3.0,2.0,Fis0506-1
c0024,3.0,3.0,Fis0506-1
c0024,3.0,4.0,Fis0506-1
c0024,3.0,5.0,Fis0506-1
,2.0,2.0,Fis0506-1
c0025,2.0,3.0,Fis0506-1
c0025,2.0,4.0,Fis0506-1
c0025,2.0,5.0,Fis0506-1
c0025,3.0,-1.0,Fis0506-1
,3.0,1.0,Fis0506-1
c0025,3.0,2.0,Fis0506-1
c0025,3.0,3.0,Fis0506-1
c0025,3.0,4.0,Fis0506-1
c0025,3.0,5.0,Fis0506-1
c0033,3.0,2.0,Fis0506-1
c0033,3.0,3.0,Fis0506-1
c0033,3.0,,Fis0506-1
c0033,3.0,5.0,Fis0506-1
c8888,4.0,0.0,Fis0506-1
c0033,4.0,1.0,Fis0506-1
c0033,4.0,2.0,Fis0506-1
c8888,4.0,3.0,Fis0506-1
c0033,-1.0,4.0,Fis0506-1
c0033,4.0,5.0,Fis0506-1
c0071,0.0,0.0,Fis0506-1
c0071,0.0,1.0,Fis0506-1
c0071,0.0,2.0,Fis0506-1
c0071,1.0,0.0,Fis0506-1
c0071,1.0,1.0,Fis0506-1
c0071,1.0,2.0,Fis0506-1
c0071,2.0,0.0,Fis0506-1
c0071,2.0,1.0,Fis0506-1
c0071,2.0,2.0,Fis0506-1
c8888,10.0,0.0,Fis0506-1
c0071,3.0,1.0,Fis0506-1
c0071,3.0,2.0,Fis0506-1
c0071,4.0,0.0,Fis0506-1
c8888,4.0,1.0,Fis0506-1
c0071,4.0,2.0,Fis0506-1
c0211,0.0,2.0,Ing0203-2
c0211,0.0,3.0,Ing0203-2
c0211,0.0,4.0,Ing0203-2
c0211,1.0,2.0,Ing0203-2
c0211,1.0,3.0,Ing0203-2
c0211,1.0,4.0,Ing0203-2
c0211,2.0,2.0,Ing0203-2
c8888,2.0,3.0,Ing0203-2
,2.0,4.0,Ing0203-2
c0211,3.0,2.0,Ing0203-2
c8888,3.0,3.0,Ing0203-2
c0211,3.0,4.0,Ing0203-2
c0211,10.0,2.0,Ing0203-2
c0211,4.0,3.0,Ing0203-2
c0211,4.0,4.0,Ing0203-2
c0095,0.0,2.0,Ing0203-2
c0095,0.0,3.0,Ing0203-2
c0095,,4.0,Ing0203-2
c0095,1.0,2.0,Ing0203-2
c0095,1.0,-1.0,Ing0203-2
c0095,1.0,4.0,Ing0203-2
c0095,2.0,2.0,Ing0203-2
c0095,2.0,3.0,Ing0203-2
c0095,2.0,4.0,Ing0203-2
c0095,3.0,0.0,Ing0203-2
c0095,3.0,1.0,Ing0203-2
c0095,3.0,2.0,Ing0203-2
c0095,3.0,3.0,Ing0203-2
c0095,3.0,4.0,Ing0203-2
c0095,4.0,0.0,Ing0203-2
c0095,4.0,1.0,Ing0203-2
c0095,4.0,2.0,Ing0203-2
c0095,4.0,3.0,Ing0203-2
c0095,4.0,,Ing0203-2
c0103,0.0,2.0,Ing0203-2
c0103,1.0,2.0,Ing0203-2
c0103,2.0,,Ing0203-2
c0103,3.0,2.0,Ing0203-2
c0103,4.0,2.0,Ing0203-2
c0111,0.0,0.0,Ing0203-2
c8888,1.0,0.0,Ing0203-2
c0111,2.0,10.0,Ing0203-2
c0111,3.0,0.0,Ing0203-2
c0111,4.0,0.0,Ing0203-2
c0115,0.0,0.0,Ing0203-2
c0115,0.0,1.0,Ing0203-2
c0115,3.0,0.0,Ing0203-2
c0115,3.0,1.0,Ing0203-2
c0115,3.0,2.0,Ing0203-2
c0115,3.0,3.0,Ing0203-2
c0115,3.0,4.0,Ing0203-2
c0115,4.0,0.0,Ing0203-2
c0115,4.0,1.0,Ing0203-2
c0115,4.0,2.0,Ing0203-2
c8888,4.0,3.0,Ing0203-2
c0115,4.0,4.0,Ing0203-2
c0119,0.0,0.0,Ing0203-2
c0119,0.0,4.0,Ing0203-2
c0119,1.0,0.0,Ing0203-2
c0119,1.0,-1.0,Ing0203-2
c0119,2.0,,Ing0203-2
c0119,3.0,0.0,Ing0203-2
c8888,3.0,4.0,Ing0203-2
c0119,4.0,0.0,Ing0203-2
c0127,0.0,2.0,Ing0203-2
c8888,0.0,3.0,Ing0203-2
