course_id,teacher_id,n_lectures,min_working_days,n_students,instance
c0001,t000,6.0,4.0,130.0,Fis0506-1
c0002,t001,6.0,4.0,75.0,Fis0506-1
c0004,t002,7.0,3.0,117.0,Fis0506-1
c0005,t003,3.0,3.0,75.0,Fis0506-1
c0014,t004,1.0,1.0,65.0,Fis0506-1
c0015,,8.0,3.0,65.0,Fis0506-1
c0016,t006,7.0abc,3.0,65.0,Fis0506-1
c0017,t007,2.0,2.0,65.0,Fis0506-1
c0024,t008,4.0,3.0,55.0,Fis0506-1
c0025,t009,8.0,3.0,55.0,Fis0506-1
c0078,t010,5.0,4.0,55.0,Fis0506-1
c0030,t011,5.0,4.0,20.0,Fis0506-1
c0031,t012,5.0,4.0,11.0,Fis0506-1
c0032,t013,1.0,1.0,31.0,Fis0506-1
c0033,t014,6.0,4.0,31.0,Fis0506-1
c0057,t015,5.0,4.0,2.0,Fis0506-1
c0058,t016,5.0,4.0,2.0,Fis0506-1
c0059,t017,6.0,10.0,7.0,Fis0506-1
c0061,t018,6.0,4.0,6.0,Fis0506-1
c0062,t019,5.0,4.0,10.0,Fis0506-1
c0063,t020,6.0,4.0,8.0,Fis0506-1
c0064,t020,6.0,4.0,6.0,Fis0506-1
c0065,t021,6.0,4.0,5.0,Fis0506-1
,t008,6.0,4.0,14.0,Fis0506-1
c0067,t022,5.0,4.0,7.0,Fis0506-1
c0068,t023,,4.0,9.0,Fis0506-1
c0069,t007,6.0,4.0,7.0,Fis0506-1
c0070,t002,6.0,4.0,4.0,Fis0506-1
c0071,t001,6.0,4.0,10.0,Fis0506-1
c0072,t003,6.0,4.0,9.0,Fis0506-1
c0131,t000,3.0,2.0,150.0,Ing0203-2
c0211,t001,3.0,3.0,147.0,Ing0203-2
c0095,t002,3.0,3.0,89.0,Ing0203-2
c0152,t003,3.0,3.0,150.0,Ing0203-2
c0103,t004,3.0,3.0,114.0,Ing0203-2
c0111,t005,3.0,3.0,114.0,Ing0203-2
c0113,t006,3.0,3.0,234.0,Ing0203-2
,t007,3.0,3.0,302.0,Ing0203-2
c0119,t008,3.0,3.0,60.0,Ing0203-2
c0127,t009,3.0,3.0,89.0,Ing0203-2
c0007,t010,3.0,3.0,17.0,Ing0203-2
c0015,t011,3.0,3.0,23.0,Ing0203-2
c0019,t012,3.0,3.0,46.0,Ing0203-2
c0020,t013,3.0abc,3.0,23.0,Ing0203-2
c0023,t014,3.0,3.0,124.0,Ing0203-2
c0080,t015,3.0,3.0,23.0,Ing0203-2
c0088,t016,5.0,4.0,144.0,Ing0203-2
c0044,t017,3.0,3.0,86.0,Ing0203-2
c0110,t018,-3.0,3.0,195.0,Ing0203-2
c0058,t018,3.0,3.0,149.0,Ing0203-2
c0061,t019,3.0,3.0,201.0,Ing0203-2
c0066,t020,3.0,3.0,33.0,Ing0203-2
c0074,t021,3.0,3.0,75.0,Ing0203-2
c0213,t022,3.0,3.0,147.0,Ing0203-2
c0219,,3.0abc,2.0,90.0,Ing0203-2
c0178,t024,3.0,3.0,159.0,Ing0203-2
c0186,t025,3.0,3.0,175.0,Ing0203-2
c0193,t026,3.0,3.0,84.0,Ing0203-2
c0108,t027,3.0,3.0,89.0,Ing0203-2
c0056,t027,3.0,3.0,86.0,Ing0203-2
c0195,t027,3.0,3.0,159.0,Ing0203-2
c0206,t028,3.0,3.0,159.0,Ing0203-2
c0467,t029,3.0,3.0,37.0,Ing0203-2
c0129,t030,3.0,2.0,150.0,Ing0203-2
c0155,t031,7.0,1.0,50.0,Ing0203-2
c0156,t032,7.0,1.0,50.0,Ing0203-2
c0157,t033,7.0,1.0,50.0,Ing0203-2
c0252,t034,3.0,2.0,138.0,Ing0203-2
c0266,t035,3.0,2.0,169.0,Ing0203-2
c0238,t036,3.0,3.0,147.0,Ing0203-2
c0279,t036,3.0,3.0,128.0,Ing0203-2
c0076,t037,3.0,3.0,46.0,Ing0203-2
c0470,t037,3.0,3.0,16.0,Ing0203-2
c0009,t038,3.0,3.0,17.0,Ing0203-2
c0217,t038,3.0,3.0,107.0,Ing0203-2
c0230,t039,-3.0,3.0,124.0,Ing0203-2
c0201,t040,3.0,2.0,175.0,Ing0203-2
c0552,t041,3.0,3.0,1.0,Ing0203-2
c0480,t042,3.0,3.0,31.0,Ing0203-2
c0054,t043,5.0,4.0,168.0,Ing0203-2
c0455,t044,3.0,3.0,4.0,Ing0203-2
c0602,t045,,3.0,2.0,Ing0203-2
c0559,t046,3.0,3.0,1.0,Ing0203-2
c0069,t047,3.0,3.0,86.0,Ing0203-2
c0295,t048,5.0,4.0,4.0,Ing0203-2
c0288,t049,3.0,3.0,37403.0,Ing0203-2
c0297,t050,5.0,4.0,11.0,Ing0203-2
c0302,t051,3.0,3.0,72.0,Ing0203-2
c0311,t038,3.0,3.0,21.0,Ing0203-2
c0313,t052,3.0,3.0,18.0,Ing0203-2
c0314,t053,3.0,3.0,4.0,Ing0203-2
c0310,t054,3.0,0.0,237.0,Ing0203-2
c0315,t054,3.0,3.0,23.0,Ing0203-2
c0316,t039,3.0,3.0,45.0,Ing0203-2
c0298,t055,5.0,4.0,86.0,Ing0203-2
c0304,t056,5.0,4.0,23.0,Ing0203-2
c0346,t057,5.0abc,4.0,270.0,Ing0203-2
c0379,t040,3.0,10.0,80.0,Ing0203-2
c0366,t058,5.0,4.0,41.0,Ing0203-2
c0391,t059,3.0,3.0,100.0,Ing0203-2
c0386,t060,3.0,3.0,296.0,Ing0203-2
c0638,t061,4.0,3.0,273.0,Ing0203-2
c0322,t062,5.0,4.0,61.0,Ing0203-2
c0323,t063,3.0,3.0,165.0,Ing0203-2
c0326,t064,3.0,3.0,91.0,Ing0203-2
c0327,t046,3.0abc,3.0,150.0,Ing0203-2
c0336,t065,3.0,2.0,66.0,Ing0203-2
c0337,t066,3.0,3.0,-64.0,Ing0203-2
c0307,t067,5.0,4.0,23.0,Ing0203-2
c0633,t068,5.0,4.0,214.0,Ing0203-2
c0368,t069,3.0,3.0,31.0,Ing0203-2
c0388,t070,5.0,4.0,69.0,Ing0203-2
ChiGenAn,t000,3.0,3.0,150.0,Ing0304-1
GeoAn,t001,3.0,3.0,160.0,Ing0304-1
CamEleAn,t002,3.0,3.0,24.0,Ing0304-1
FonChiAn,t003,3.0,3.0,49.0,Ing0304-1
IngConAn,t004,3.0,3.0,100.0,Ing0304-1
StrIndAn,t005,3.0,3.0,24.0,Ing0304-1
TecCosAn,t006,3.0,3.0,20.0,Ing0304-1
Mat1Cn,t007,5.0,4.0,170.0,Ing0304-1
MecRazCn,t008,3.0,3.0,150.0,Ing0304-1
DisCn,t009,3.0,3.0,150.0,Ing0304-1
TecMatCn,t010,3.0,3.0,110.0,Ing0304-1
ArcTecCn,t011,3.0,3.0,80.0,Ing0304-1
DisEdiCn,t009,3.0,3.0,44.0,Ing0304-1
Idr2Cn,t012,3.0,3.0,64.0,Ing0304-1
Mat1En,t013,5.0,4.0,100.0,Ing0304-1
ChiStaEn,t014,3.0,3.0,130.0,Ing0304-1
ConAutEn,t015,3.0,3.0,130.0,Ing0304-1
RetLogEn,t016,3.0,2.0,92.0,Ing0304-1
TeoRetEn,t017,,3.0,130.0,Ing0304-1
ComEleEn,t018,3.0,3.0,130.0,Ing0304-1
EleSis1En,t019,3.0,2.0,105.0,Ing0304-1
MetMatEn,t008,3.0,3.0,32.0,Ing0304-1
RetCal1G1n,t020,3.0,3.0,205.0,Ing0304-1
Mat1G2n,t021,5.0,10.0,170.0,Ing0304-1
ChiG2n,t000,3.0,3.0,210.0,Ing0304-1
DisComEsG2n,t022,1.0,1.0,100.0,Ing0304-1
FonMecG2n,t023,3.0,3.0,210.0,Ing0304-1
TerAppG2n,t024,3.0,3.0,100.0,Ing0304-1
CalProG2n,t025,3.0,3.0,48.0,Ing0304-1
Mat1Mn,t026,5.0,4.0,100.0,Ing0304-1
DisIndMn,t022,2.0,2.0,210.0,Ing0304-1
DisIndEsMn,t022,1.0,1.0,32513.0,Ing0304-1
FluMn,t027,3.0,3.0,110.0,Ing0304-1
ComMecMn,t028,3.0,3.0,110.0,Ing0304-1
