feature,importance
n_curricula,0.1597636376774552
avg_unavailable_per_course,0.13931637678773245
constraint_density,0.09693826732614566
avg_min_working_days,0.08946862852533163
n_unavailability_constraints,0.08518897337552898
avg_curriculum_size,0.06344189491849404
student_count_mean,0.057701091843189015
time_slack,0.05681414534677498
avg_students_per_room_capacity,0.0350292288175538
max_curriculum_size,0.03325255206673442
teacher_conflict_density,0.031334239569855316
student_count_std,0.025598464951381884
room_utilization_pressure,0.025445006105492263
room_capacity_std,0.023745251110199005
room_capacity_mean,0.023328867031882562
lectures_per_timeslot_ratio,0.019615406929542653
n_courses,0.01906262141034077
n_rooms,0.009192890812740929
total_lectures,0.005762455393624374
courses_in_curricula_ratio,0.0
