instance,course_id,lecture_index,day,timeslot,room_id
comp07,c0532,3,1,1,25
comp07,c0955,4,1,1,27
comp07,c0467,3,1,1,34
comp07,c0497,3,1,1,36
comp07,c0539,3,1,1,37
comp07,c0443,2,1,1,38
comp07,c0860,3,1,1,52
comp07,c0746,3,1,1,A
comp07,c0108,3,1,1,B
comp07,c0221,1,1,1,D
comp07,c0103,2,1,1,DS1
comp07,c0538,3,1,1,DS2
comp07,c0983,6,1,1,Er1
comp07,c0980,7,1,1,Er2
comp07,c0217,1,1,1,F
comp07,c0106,1,1,1,G
comp07,c0412,1,1,1,N
comp07,c0532,2,1,2,25
comp07,c0955,3,1,2,27
comp07,c0537,1,1,2,34
comp07,c0497,2,1,2,36
comp07,c0539,2,1,2,37
comp07,c0423,3,1,2,38
comp07,c0860,2,1,2,52
comp07,c0746,2,1,2,A
comp07,c0108,2,1,2,B
comp07,c0113,3,1,2,D
comp07,c0088,2,1,2,DS1
comp07,c0835,1,1,2,DS2
comp07,c0983,5,1,2,Er1
comp07,c0980,6,1,2,Er2
comp07,c0279,3,1,2,F
comp07,c0206,1,1,2,G
comp07,c0015,3,1,2,N
comp07,c0532,1,1,3,25
comp07,c0980,2,1,3,27
comp07,c0526,3,1,3,34
comp07,c0936,3,1,3,36
comp07,c1069,1,1,3,37
comp07,c0428,3,1,3,38
comp07,c0963,1,1,3,52
comp07,c0746,1,1,3,A
comp07,c0219,3,1,3,B
comp07,c0162,3,1,3,D
comp07,c0103,1,1,3,DS1
comp07,c0411,2,1,3,DS2
comp07,c1064,4,1,3,Er1
comp07,c1066,1,1,3,Er2
comp07,c0279,2,1,3,F
comp07,c0129,3,1,3,G
comp07,c0007,3,1,3,N
comp07,c0479,2,1,4,25
comp07,c0955,2,1,4,27
comp07,c0535,1,1,4,34
comp07,c1022,2,1,4,36
comp07,c1074,2,1,4,37
comp07,c0423,2,1,4,38
comp07,c0813,2,1,4,52
comp07,c0520,3,1,4,A
comp07,c0219,2,1,4,B
comp07,c0162,2,1,4,D
comp07,c0095,3,1,4,DS1
comp07,c0883,1,1,4,DS2
comp07,c0983,4,1,4,Er1
comp07,c0980,5,1,4,Er2
comp07,c0279,1,1,4,F
comp07,c0110,3,1,4,G
comp07,c0007,2,1,4,N
comp07,c0432,2,1,5,25
comp07,c0980,1,1,5,27
comp07,c0504,3,1,5,34
comp07,c0497,1,1,5,36
comp07,c0795,3,1,5,37
comp07,c0444,2,1,5,38
comp07,c0203,3,1,5,50
comp07,c0822,3,1,5,52
comp07,c0225,3,1,5,A
comp07,c0115,3,1,5,B
comp07,c0113,2,1,5,D
comp07,c0058,3,1,5,DS1
comp07,c0538,2,1,5,DS2
comp07,c1064,3,1,5,Er1
comp07,c1062,2,1,5,Er2
comp07,c0127,2,1,5,F
comp07,c0129,2,1,5,G
comp07,c0554,3,1,5,N
comp07,c0479,3,2,1,25
comp07,c0883,7,2,1,27
comp07,c0526,2,2,1,34
comp07,c0794,3,2,1,36
comp07,c1074,1,2,1,37
comp07,c0423,1,2,1,38
comp07,c0813,3,2,1,52
comp07,c0115,2,2,1,B
comp07,c0191,3,2,1,D
comp07,c0047,2,2,1,DS1
comp07,c0535,3,2,1,DS2
comp07,c0983,3,2,1,Er1
comp07,c0980,4,2,1,Er2
comp07,c0127,1,2,1,F
comp07,c0069,3,2,1,G
comp07,c1065,3,2,1,N
